"Part";"Value";"Device";"Package";"Description";"SPICEPREFIX";
"C1";"100n";"C-USC0603K";"C0603K";"CAPACITOR, American symbol";"C";
"C2";"100n";"C-USC0603K";"C0603K";"CAPACITOR, American symbol";"C";
"C3";"100n";"C-USC0603K";"C0603K";"CAPACITOR, American symbol";"C";
"C4";"100n";"C-USC0603K";"C0603K";"CAPACITOR, American symbol";"C";
"C5";"10u";"CPOL-USE2-5";"E2-5";"POLARIZED CAPACITOR, American symbol";"C";
"C6";"10u";"CPOL-USE2-5";"E2-5";"POLARIZED CAPACITOR, American symbol";"C";
"C7";"100n";"C-USC0603K";"C0603K";"CAPACITOR, American symbol";"C";
"C8";"100n";"C-USC0603K";"C0603K";"CAPACITOR, American symbol";"C";
"IC3";"TL072D";"TL072D";"SO08";"OP AMP";"";
"IC4";"TL072D";"TL072D";"SO08";"OP AMP";"";
"IC5";"TL072D";"TL072D";"SO08";"OP AMP";"";
"JP1";"";"PINHD-2X5";"2X05";"PIN HEADER";"";
"R1";"20k";"R-US_R0603";"R0603";"RESISTOR, American symbol";"R";
"R2";"100k";"R-US_R0603";"R0603";"RESISTOR, American symbol";"R";
"R3";"100k";"R-US_R0603";"R0603";"RESISTOR, American symbol";"R";
"R4";"82k";"R-US_R0603";"R0603";"RESISTOR, American symbol";"R";
"R5";"10k";"R-US_R0603";"R0603";"RESISTOR, American symbol";"R";
"R6";"100k";"R-US_R0603";"R0603";"RESISTOR, American symbol";"R";
"R7";"100R";"R-US_R0603";"R0603";"RESISTOR, American symbol";"R";
"R8";"100R";"R-US_R0603";"R0603";"RESISTOR, American symbol";"R";
"R9";"100k";"R-US_R0603";"R0603";"RESISTOR, American symbol";"R";
"R10";"20k";"R-US_R0603";"R0603";"RESISTOR, American symbol";"R";
"R11";"20k";"R-US_R0603";"R0603";"RESISTOR, American symbol";"R";
"R12";"10k";"R-US_R0603";"R0603";"RESISTOR, American symbol";"R";
"R13";"10k";"R-US_R0603";"R0603";"RESISTOR, American symbol";"R";
"R14";"100k";"R-US_R0603";"R0603";"RESISTOR, American symbol";"R";
"R15";"1k";"R-US_R0603";"R0603";"RESISTOR, American symbol";"R";
"R16";"100k";"EVUF3K";"EVUFXK";"9 mm Square Rotary Potentiometers";"";
"R17";"100k";"TRIM_US-RJ9W";"RJ9W";"POTENTIOMETER";"";
"R18";"100k";"R-US_R0603";"R0603";"RESISTOR, American symbol";"R";
"R19";"20k";"R-US_R0603";"R0603";"RESISTOR, American symbol";"R";
"R20";"100k";"R-US_R0603";"R0603";"RESISTOR, American symbol";"R";
"R21";"100k";"R-US_R0603";"R0603";"RESISTOR, American symbol";"R";
"R22";"82k";"R-US_R0603";"R0603";"RESISTOR, American symbol";"R";
"R23";"10k";"R-US_R0603";"R0603";"RESISTOR, American symbol";"R";
"R24";"100k";"R-US_R0603";"R0603";"RESISTOR, American symbol";"R";
"R25";"100R";"R-US_R0603";"R0603";"RESISTOR, American symbol";"R";
"R26";"100R";"R-US_R0603";"R0603";"RESISTOR, American symbol";"R";
"R27";"100k";"R-US_R0603";"R0603";"RESISTOR, American symbol";"R";
"R28";"20k";"R-US_R0603";"R0603";"RESISTOR, American symbol";"R";
"R29";"20k";"R-US_R0603";"R0603";"RESISTOR, American symbol";"R";
"R30";"10k";"R-US_R0603";"R0603";"RESISTOR, American symbol";"R";
"R31";"10k";"R-US_R0603";"R0603";"RESISTOR, American symbol";"R";
