"Qty";"Value";"Device";"Package";"Parts";"Description";"SPICEPREFIX";
"4";"";"LED3MM";"LED3MM";"LED1, LED2, LED3, LED4";"LED";"";
"1";"";"PINHD-2X5";"2X05";"JP1";"PIN HEADER";"";
"4";"";"R-US_0207/2V";"0207/2V";"FSR1, FSR2, FSR3, FSR4";"RESISTOR, American symbol";"R";
"10";"0.1uF";"C-USC0603";"C0603";"C1, C2, C3, C4, C5, C6, C7, C8, C9, C10";"CAPACITOR, American symbol";"C";
"4";"100R";"R-US_R0603";"R0603";"R4, R12, R21, R30";"RESISTOR, American symbol";"R";
"4";"100k";"R-US_R0603";"R0603";"R1, R16, R25, R34";"RESISTOR, American symbol";"R";
"4";"10k";"EVUF2J";"EVUFXJ";"ATT1, ATT2, ATT3, ATT4";"9 mm Square Rotary Potentiometers";"";
"2";"10uF";"CPOL-USE2-5";"E2-5";"C11, C12";"POLARIZED CAPACITOR, American symbol";"C";
"4";"15k";"R-US_R0603";"R0603";"R8, R17, R26, R35";"RESISTOR, American symbol";"R";
"12";"1k";"R-US_R0603";"R0603";"R3, R5, R6, R11, R13, R14, R20, R22, R23, R29, R31, R32";"RESISTOR, American symbol";"R";
"4";"3k";"R-US_R0603";"R0603";"R2, R10, R19, R28";"RESISTOR, American symbol";"R";
"4";"4.7k";"R-US_R0603";"R0603";"R9, R18, R27, R36";"RESISTOR, American symbol";"R";
"4";"BC849SMD";"BC849SMD";"SOT23-BEC";"Q1, Q2, Q3, Q4";"NPN Transistor";"";
"1";"CV1";"WQP-PJ301M-12_JACK";"WQP-PJ301M-12_JACK";"U$1";"";"";
"1";"CV2";"WQP-PJ301M-12_JACK";"WQP-PJ301M-12_JACK";"U$3";"";"";
"1";"CV3";"WQP-PJ301M-12_JACK";"WQP-PJ301M-12_JACK";"U$5";"";"";
"1";"CV4";"WQP-PJ301M-12_JACK";"WQP-PJ301M-12_JACK";"U$7";"";"";
"1";"GATE1";"WQP-PJ301M-12_JACK";"WQP-PJ301M-12_JACK";"U$2";"";"";
"1";"GATE2";"WQP-PJ301M-12_JACK";"WQP-PJ301M-12_JACK";"U$4";"";"";
"1";"GATE3";"WQP-PJ301M-12_JACK";"WQP-PJ301M-12_JACK";"U$6";"";"";
"1";"GATE4";"WQP-PJ301M-12_JACK";"WQP-PJ301M-12_JACK";"U$8";"";"";
"4";"TL072D";"TL072D";"SO08";"IC1, IC3, IC4, IC5";"OP AMP";"";
"1";"TL074D";"TL074D";"SO14";"IC2";"OP AMP";"";
